role,latitude,longitude,height,date_time,person_id
Cycle Courier,51.514245,-0.056665,28.02,2012-12-10 10:10:11,7
Cycle Courier,51.514299,-0.056795,27.05,2012-12-10 10:10:25,7
Cycle Courier,51.514293,-0.056718,25.13,2012-12-10 10:10:36,7
Cycle Courier,51.514268,-0.056666,24.65,2012-12-10 10:11:25,7
Cycle Courier,51.514127,-0.056622,20.81,2012-12-10 10:11:43,7
Cycle Courier,51.514081,-0.056553,19.36,2012-12-10 10:12:13,7
Cycle Courier,51.514342,-0.055713,31.38,2012-12-10 10:14:03,7
Cycle Courier,51.514452,-0.056021,36.19,2012-12-10 10:14:08,7
Cycle Courier,51.514594,-0.056166,39.07,2012-12-10 10:14:11,7
Cycle Courier,51.515342,-0.057495,45.32,2012-12-10 10:14:32,7
Cycle Courier,51.516344,-0.059364,43.4,2012-12-10 10:15:01,7
Cycle Courier,51.51646,-0.0604,45.32,2012-12-10 10:15:33,7
Cycle Courier,51.515848,-0.060977,40.99,2012-12-10 10:16:00,7
Cycle Courier,51.515697,-0.061256,40.51,2012-12-10 10:16:05,7
Cycle Courier,51.514602,-0.056266,40.51,2012-12-10 10:16:16,7
Cycle Courier,51.514881,-0.056881,37.63,2012-12-10 10:16:29,7
Cycle Courier,51.514925,-0.057302,38.11,2012-12-10 10:16:38,7
Cycle Courier,51.515055,-0.057478,36.19,2012-12-10 10:16:43,7
Cycle Courier,51.51523,-0.057665,29.94,2012-12-10 10:16:56,7
Cycle Courier,51.515615,-0.05786,16.96,2012-12-10 10:17:15,7
Cycle Courier,51.515818,-0.05801,1.58,2012-12-10 10:17:33,7
Cycle Courier,51.515632,-0.057466,-13.8,2012-12-10 10:17:48,7
Cycle Courier,51.51581,-0.057712,-28.22,2012-12-10 10:18:04,7
Cycle Courier,51.516156,-0.058391,-42.16,2012-12-10 10:18:23,7
Cycle Courier,51.516337,-0.058688,-51.29,2012-12-10 10:18:39,7
Cycle Courier,51.517544,-0.061229,-83.02,2012-12-10 10:19:13,7
Cycle Courier,51.517971,-0.061898,-92.63,2012-12-10 10:19:26,7
Cycle Courier,51.515026,-0.058396,-74.36,2012-12-10 10:19:34,7
Cycle Courier,51.514264,-0.056357,-68.6,2012-12-10 10:19:45,7
Cycle Courier,51.514626,-0.056966,-63.31,2012-12-10 10:20:02,7
Cycle Courier,51.51467,-0.056668,-64.27,2012-12-10 10:20:18,7
Cycle Courier,51.514435,-0.055764,-68.12,2012-12-10 10:20:32,7
Cycle Courier,51.514482,-0.055944,-73.88,2012-12-10 10:20:51,7
Cycle Courier,51.514533,-0.056329,-82.54,2012-12-10 10:21:07,7
Cycle Courier,51.514479,-0.056749,-93.11,2012-12-10 10:21:22,7
Cycle Courier,51.514361,-0.056789,-106.57,2012-12-10 10:21:37,7
Cycle Courier,51.514046,-0.056925,-118.59,2012-12-10 10:21:56,7
Cycle Courier,51.513967,-0.057092,-128.68,2012-12-10 10:22:12,7
Cycle Courier,51.51395,-0.057659,-146.46,2012-12-10 10:22:33,7
Cycle Courier,51.51394,-0.058087,-161.36,2012-12-10 10:22:52,7
Cycle Courier,51.513845,-0.057719,-177.23,2012-12-10 10:23:12,7
Cycle Courier,51.513722,-0.057441,-189.72,2012-12-10 10:23:34,7
Cycle Courier,51.513775,-0.05751,-194.05,2012-12-10 10:23:57,7
Cycle Courier,51.513773,-0.057559,-207.03,2012-12-10 10:24:18,7
Cycle Courier,51.513852,-0.057499,-200.78,2012-12-10 10:24:41,7
Cycle Courier,51.513866,-0.057521,-196.45,2012-12-10 10:25:12,7
Cycle Courier,51.513756,-0.057099,-177.23,2012-12-10 10:28:58,7
Cycle Courier,51.514302,-0.056829,25.61,2012-12-10 10:34:56,7
Cycle Courier,51.514335,-0.056744,21.77,2012-12-10 10:35:12,7
Cycle Courier,51.514329,-0.056781,21.29,2012-12-10 10:36:34,7
Cycle Courier,51.514319,-0.056728,22.73,2012-12-10 10:36:55,7
Cycle Courier,51.514327,-0.056732,23.69,2012-12-10 10:38:43,7
Cycle Courier,51.51439,-0.056745,25.13,2012-12-10 10:38:56,7
Cycle Courier,51.514356,-0.05666,26.09,2012-12-10 10:39:00,7
Cycle Courier,51.514399,-0.056183,30.9,2012-12-10 10:39:18,7
Cycle Courier,51.514487,-0.056131,30.42,2012-12-10 10:39:24,7
Cycle Courier,51.514551,-0.056032,29.94,2012-12-10 10:39:34,7
Cycle Courier,51.514462,-0.055524,30.42,2012-12-10 10:39:44,7
Cycle Courier,51.514283,-0.054149,27.05,2012-12-10 10:39:59,7
Cycle Courier,51.51425,-0.053775,26.57,2012-12-10 10:40:03,7
Cycle Courier,51.514252,-0.053449,27.05,2012-12-10 10:40:12,7
Cycle Courier,51.514203,-0.052998,26.09,2012-12-10 10:40:58,7
Cycle Courier,51.513983,-0.05128,24.65,2012-12-10 10:41:16,7
Cycle Courier,51.513759,-0.04984,24.17,2012-12-10 10:41:31,7
Cycle Courier,51.513433,-0.047555,23.21,2012-12-10 10:41:52,7
Cycle Courier,51.51322,-0.045378,23.69,2012-12-10 10:42:12,7
Cycle Courier,51.513217,-0.04516,23.69,2012-12-10 10:42:14,7
Cycle Courier,51.513203,-0.043011,21.77,2012-12-10 10:42:34,7
Cycle Courier,51.513052,-0.041839,20.32,2012-12-10 10:42:49,7
Cycle Courier,51.512867,-0.040822,20.32,2012-12-10 10:43:03,7
Cycle Courier,51.512796,-0.039645,20.32,2012-12-10 10:43:18,7
Cycle Courier,51.512803,-0.039364,20.81,2012-12-10 10:43:24,7
Cycle Courier,51.512711,-0.038266,21.29,2012-12-10 10:43:37,7
Cycle Courier,51.512629,-0.036177,19.36,2012-12-10 10:43:56,7
Cycle Courier,51.512595,-0.035059,18.88,2012-12-10 10:44:08,7
Cycle Courier,51.51251,-0.03326,17.44,2012-12-10 10:44:24,7
Cycle Courier,51.512381,-0.031196,14.08,2012-12-10 10:44:42,7
Cycle Courier,51.512338,-0.029374,14.56,2012-12-10 10:44:58,7
Cycle Courier,51.511942,-0.027798,12.63,2012-12-10 10:45:14,7
Cycle Courier,51.511562,-0.025658,12.63,2012-12-10 10:45:33,7
Cycle Courier,51.511246,-0.023577,13.6,2012-12-10 10:45:52,7
Cycle Courier,51.510894,-0.021312,11.19,2012-12-10 10:46:13,7
Cycle Courier,51.510887,-0.020904,11.19,2012-12-10 10:46:22,7
Cycle Courier,51.510913,-0.02008,10.71,2012-12-10 10:46:31,7
Cycle Courier,51.511056,-0.017355,11.67,2012-12-10 10:46:55,7
Cycle Courier,51.511062,-0.017255,11.67,2012-12-10 10:46:56,7
Cycle Courier,51.511149,-0.015509,12.15,2012-12-10 10:47:13,7
Cycle Courier,51.511225,-0.013901,15.04,2012-12-10 10:47:31,7
Cycle Courier,51.511248,-0.013531,16,2012-12-10 10:47:37,7
Cycle Courier,51.511288,-0.013502,16.96,2012-12-10 10:47:42,7
Cycle Courier,51.51136,-0.01405,18.4,2012-12-10 10:47:55,7
Cycle Courier,51.511478,-0.01418,16.96,2012-12-10 10:48:05,7
Cycle Courier,51.511491,-0.014188,16.96,2012-12-10 10:49:48,7
Cycle Courier,51.51168,-0.014139,16.48,2012-12-10 10:50:36,7
Cycle Courier,51.51221,-0.014535,11.19,2012-12-10 10:51:07,7
Cycle Courier,51.512574,-0.015281,8.79,2012-12-10 10:51:31,7
Cycle Courier,51.512785,-0.015203,5.91,2012-12-10 10:51:52,7
Cycle Courier,51.513207,-0.015229,2.06,2012-12-10 10:52:11,7
Cycle Courier,51.513265,-0.015419,-0.82,2012-12-10 10:52:23,7
Cycle Courier,51.513379,-0.0155,-1.79,2012-12-10 10:52:27,7
Cycle Courier,51.514093,-0.016104,-8.51,2012-12-10 10:52:41,7
Cycle Courier,51.514547,-0.015945,-18.61,2012-12-10 10:52:57,7
Cycle Courier,51.515105,-0.016162,-25.34,2012-12-10 10:53:08,7
Cycle Courier,51.515841,-0.016499,-32.55,2012-12-10 10:53:22,7
Cycle Courier,51.516694,-0.016902,-35.43,2012-12-10 10:53:37,7
Cycle Courier,51.511795,-0.014065,-65.71,2012-12-10 10:53:47,7
Cycle Courier,51.511942,-0.014797,-47.93,2012-12-10 10:54:00,7
Cycle Courier,51.511993,-0.015421,-55.14,2012-12-10 10:54:12,7
Cycle Courier,51.512108,-0.015948,-63.31,2012-12-10 10:54:27,7
Cycle Courier,51.512222,-0.016769,-73.4,2012-12-10 10:54:43,7
